PF10,PL10,PF01,PL01,PL11,PRG1,PF02,PL02,PL12,PRG2,PF03,PL03,PL13,PF04,PL04,PF05,PL05,PF06,PL06,PF07,PL07,PF08,PL08,PF09,PL09,PRGA,PTHA,PSTA,PLEB,PREB,PKAC,PACC,PRGC,PHED,RCHD,PGID,PHPD,PSPD,PRSD,PPOE,PBRE,PEYE,PLMG,PFSH,PLSH,PMSH,PRSH,PSSH,PCTH,PAGI,PSKI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PHCL,PFGM,PGGM,HELM,PHAN,PJEN,PTEN,PLHN,PRHN,PSLO,PTTO,PLFP,PTHP,PFMP,PIMP,PJMP,PTYP,PCAR,PYER,PRGR,PKPR,PSTR,POVR,PAWR,PRGS,PDIS,PVIS,PFJS,PPOS,PLWS,PRWS,PHGT,PRGT,PWGT,PSLT,PGRT,PRST,PRGY,PLSY
0,0,40,41,0,0,9,7,0,0,11,14,0,0,5,0,14,0,15,0,22,0,9,0,3,0,0,15,0,0,0,10,0,3,2191,140,0,8,0,6,0,0,0,1,0,3,0,2,9,9,0,16,2,8,8,0,7,5,2,0,0,0,0,11,1,2,2,2,0,0,0,3,8,8,0,4,2,0,0,8,14,8,0,5,0,0,4,0,5,77,0,92,0,0,0,0,0
0,55,29,46,0,0,15,8,0,0,18,15,0,5,13,25,1,0,19,0,0,0,36,0,18,0,0,17,0,0,0,15,0,5,9475,141,0,11,2,10,0,1,0,0,0,2,0,3,5,14,4,15,9,2,2,0,8,2,0,0,0,2,0,2,2,2,2,2,0,0,0,34,7,12,0,0,0,0,0,8,10,8,0,4,0,0,18,0,0,76,0,60,1,0,0,0,0
0,0,30,36,0,0,9,15,0,0,39,8,0,1,14,18,19,3,15,15,14,0,0,0,0,0,0,17,0,0,0,21,0,1,10031,142,0,14,0,4,0,1,0,0,0,0,0,3,4,19,5,13,6,2,3,0,3,3,0,0,0,1,0,39,0,2,2,0,0,0,0,41,9,14,0,3,0,0,0,6,11,8,0,3,1,0,17,5,0,73,0,41,1,0,0,0,0
0,0,28,34,0,0,12,5,0,0,1,19,0,11,20,5,5,0,18,0,0,0,0,0,0,0,0,19,0,0,0,20,0,3,4147,143,0,15,0,5,0,1,0,-1,0,0,0,4,5,16,1,18,6,2,3,0,9,7,0,0,0,0,0,18,1,2,2,2,0,0,0,8,9,10,0,5,0,0,0,6,7,5,0,5,0,0,1,0,0,70,0,20,0,0,0,0,0
0,0,29,41,0,0,8,7,0,0,21,2,0,0,15,0,14,0,14,0,1,0,0,0,0,0,0,18,0,0,0,22,0,0,2314,144,0,18,2,5,0,1,0,-1,0,-1,0,4,5,20,5,13,7,2,3,0,9,4,0,0,0,0,0,13,2,2,2,0,0,0,0,41,6,14,0,2,2,0,0,5,12,9,0,0,1,0,16,0,0,74,0,20,1,0,0,0,0
0,0,39,45,0,0,9,14,0,0,3,15,0,8,23,1,4,5,5,12,14,0,0,0,0,0,0,19,0,0,0,15,0,1,9528,145,0,13,0,0,0,1,0,0,0,0,0,4,6,14,6,17,9,2,2,0,2,7,0,0,0,2,0,20,0,2,2,2,0,0,0,49,5,6,0,6,0,0,0,9,7,7,0,2,0,0,14,0,0,74,0,40,1,0,0,0,0
0,0,37,28,0,0,25,9,0,0,12,19,0,5,3,0,8,0,15,0,6,0,0,0,0,0,0,21,0,0,0,14,0,0,8712,146,0,10,0,0,0,1,0,0,0,3,0,2,3,14,1,18,6,2,2,0,1,2,0,0,0,0,0,40,0,2,2,0,0,0,0,13,5,10,0,0,0,0,0,9,5,6,0,4,1,0,14,0,0,72,0,64,1,0,0,0,0
0,0,45,29,0,0,5,15,0,0,1,14,0,14,18,0,15,0,25,0,0,0,0,0,0,0,0,21,0,0,0,17,0,5,8753,147,0,16,2,0,0,0,0,0,0,0,0,3,4,15,1,12,10,2,3,0,4,2,2,0,0,1,0,44,1,2,2,0,0,0,0,12,12,17,0,4,1,0,0,7,13,9,0,1,0,0,17,0,0,70,0,35,0,0,0,0,0
0,0,36,36,0,0,21,1,0,0,1,18,0,14,18,0,5,0,20,0,20,0,0,0,0,0,0,18,0,0,0,14,0,1,8716,148,0,11,0,0,0,1,0,0,0,0,0,2,5,14,4,18,8,2,2,0,10,2,0,0,0,2,0,17,0,2,2,0,0,0,0,33,5,10,0,1,0,0,0,9,10,8,0,6,1,0,15,5,5,73,0,32,0,0,0,0,0
0,0,27,49,0,0,55,1,0,0,36,20,0,55,20,0,19,0,0,0,0,0,0,0,0,0,0,17,0,0,0,21,0,5,2384,149,0,16,0,4,0,0,0,0,0,-1,0,3,6,18,5,16,8,2,2,0,9,2,0,0,0,1,0,18,1,2,2,2,0,0,0,41,6,14,0,0,1,0,0,8,15,13,0,2,1,0,18,0,0,73,0,33,0,0,0,0,0
