BCI1,BCR1,BCI2,BCR2,BMFD,SGID,UTID,GTOD,BNME,SGNM,BMON,SEWN,BLGO,BPLO,BIDX,BDAY
7,1,7,1,162,161,3,1200,Big Ten Championship,0,12,16,1,14,29,2
2,1,2,1,149,146,4,1200,Big 12 Championship,2,12,16,0,2,28,4
11,1,11,1,175,174,10,1020,SEC Championship,1,12,16,2,26,30,4
0,1,0,1,233,244,2,780,ACC Championship,3,12,16,33,33,31,4
4,1,4,1,234,255,9,1020,Pac-12 Championship,4,12,16,3,30,32,4
13,2,17,0,167,166,28,1200,New Orleans Bowl,0,12,18,22,19,25,14
0,6,1,3,163,162,38,1170,Sunshine Classic Bowl,0,12,19,18,15,8,21
10,6,1,2,164,163,19,1200,Mobile Bowl,1,12,19,19,16,0,22
9,4,13,1,176,175,35,1320,Poinsettia Bowl,2,12,19,29,27,15,22
9,3,4,6,160,159,25,1290,Las Vegas Bowl,4,12,19,16,12,1,23
2,6,10,5,168,167,34,1110,Fort Worth Bowl,3,12,19,23,20,2,23
10,4,14,3,155,185,79,840,Hawaii Bowl,5,12,19,11,31,26,24
1,1,7,6,165,164,26,1050,Motor City Bowl,1,12,20,20,17,4,27
0,5,14,2,157,156,22,840,Humanitarian Bowl,0,12,20,13,9,6,27
4,5,3,2,159,158,24,1290,Cactus Bowl,3,12,20,15,11,7,28
2,5,11,6,158,157,23,1170,Independence Bowl,2,12,20,14,10,16,28
7,5,2,4,147,144,13,1200,Alamo Bowl,4,12,20,4,0,14,29
4,4,9,2,148,145,33,990,Emerald Bowl,7,12,20,5,1,3,30
17,0,14,1,153,152,21,930,Houston Bowl,6,12,20,9,6,5,30
2,3,4,3,156,180,20,1200,Holiday Bowl,8,12,20,12,8,13,30
3,1,0,4,173,186,80,780,Queen City Bowl,5,12,20,32,32,27,30
17,0,11,5,166,165,27,720,Music City Bowl,9,12,20,21,18,9,31
10,3,9,1,161,160,14,930,Liberty Bowl,11,12,20,17,13,10,31
7,4,4,2,178,177,37,840,Sun Bowl,10,12,20,31,29,11,31
0,3,11,4,171,170,31,1170,Peach Bowl,12,12,20,26,23,12,31
2,2,11,3,151,148,15,660,Cotton Bowl,14,1,20,7,4,17,1
7,3,11,2,170,169,30,660,Outback Bowl,13,1,20,25,22,18,1
0,2,17,0,154,153,18,750,Gator Bowl,15,1,20,10,7,19,1
7,2,10,2,150,147,17,780,Citrus Bowl,16,1,20,6,3,20,1
2,1,17,0,152,150,16,1230,Fiesta Bowl,18,1,20,8,5,22,1
11,1,17,0,177,176,36,1200,Sugar Bowl,17,1,20,30,28,23,1
0,1,10,1,169,168,29,1200,Orange Bowl,0,1,21,24,21,24,2
7,1,4,1,174,173,32,1020,Rose Bowl,1,1,21,28,25,21,3
