PGID,PPOS,ddep
140,2,1
140,4,1
143,1,2
147,17,2
149,18,0
150,16,4
151,1,0
152,12,1
153,13,1
153,15,1
156,18,1
157,16,3
158,3,1
158,21,1
158,22,1
158,23,2
159,2,2
159,4,2
160,1,3
160,3,5
161,1,1
161,21,4
161,22,4
162,13,0
163,10,2
163,11,2
163,12,3
164,3,0
164,19,2
164,20,2
164,21,0
164,22,0
164,23,1
165,10,0
166,5,2
166,9,2
167,6,1
167,8,1
168,16,2
169,7,1
169,24,2
172,5,1
172,9,1
173,6,0
175,0,2
176,17,0
177,0,0
177,19,1
177,20,1
178,19,0
178,23,0
179,3,4
180,5,0
180,24,0
181,8,0
182,14,0
183,17,1
184,2,0
185,10,1
185,11,1
186,7,2
187,11,0
189,12,2
190,15,0
191,7,0
191,24,1
193,6,2
193,8,2
194,14,2
195,20,0
196,4,0
197,14,3
198,3,3
199,12,4
200,9,0
202,16,1
203,16,0
203,21,2
203,22,2
204,13,2
204,14,1
204,15,2
205,12,0
206,3,2
206,21,3
206,22,3
207,18,2
208,0,1
210,7,1
212,12,1
213,0,2
215,14,0
216,17,1
217,18,2
218,13,1
218,14,1
218,15,1
219,2,2
219,4,2
219,5,2
219,9,2
220,6,0
222,19,0
222,20,1
222,23,0
224,10,0
225,2,1
225,4,1
228,3,5
229,1,0
229,21,1
229,22,1
230,1,3
232,20,0
232,19,1
232,23,1
233,1,2
234,16,0
234,21,4
234,22,4
235,13,0
237,1,1
237,21,3
237,22,3
240,16,3
241,5,1
241,9,1
242,0,1
243,18,1
247,16,2
248,9,0
250,4,0
251,0,0
251,20,2
252,12,0
253,3,0
253,19,2
253,21,0
253,22,0
253,23,2
254,6,1
254,7,2
254,8,1
255,8,0
255,24,2
256,7,0
256,24,0
257,3,4
258,11,0
259,10,1
259,11,1
259,12,3
260,6,2
260,8,2
261,17,2
263,12,2
264,15,0
265,16,1
266,5,0
266,24,1
268,2,0
269,13,2
269,14,3
269,15,2
270,3,1
270,21,2
270,22,2
272,18,0
273,17,0
274,3,3
275,3,2
276,16,4
277,14,2
278,10,2
278,11,2
278,12,4
13222,24,2
13190,24,1
13162,24,0
13164,23,2
13181,23,1
13170,23,0
13200,22,4
13195,22,3
13182,22,2
13227,22,1
13164,22,0
13200,21,4
13195,21,3
13182,21,2
13227,21,1
13164,21,0
13200,20,2
13181,20,1
13200,19,2
13170,19,1
13213,18,2
13215,18,1
13163,17,2
13217,17,1
13160,16,4
13211,16,3
13183,16,2
13219,15,2
13171,15,1
13220,14,3
13219,14,2
13171,14,1
13219,13,2
13171,13,1
13167,12,4
13207,12,3
13165,12,2
13166,12,1
13167,11,2
13207,11,1
13167,10,2
13207,10,1
13204,9,2
13178,9,1
13172,8,2
13194,8,1
13172,7,2
13222,7,1
13172,6,2
13194,6,1
13204,5,2
13178,5,1
13186,4,2
13176,4,1
13214,3,5
13196,3,4
13182,3,3
13195,3,2
13169,2,2
13176,2,1
13173,2,0
13228,1,3
13210,1,2
13169,1,1
13168,0,2
13199,0,1
13181,19,0
13170,20,0
13209,8,0
13203,0,0
13226,12,0
13221,5,0
13161,18,0
13185,15,0
13187,6,0
13164,3,1
13174,14,0
13184,17,0
13200,3,0
13212,16,1
13216,11,0
13179,10,0
13227,1,0
13201,13,0
13225,16,0
13190,9,0
13162,7,0
13173,4,0
281,5,0
282,18,0
284,3,0
284,20,2
284,21,0
284,22,0
285,16,4
285,17,2
286,16,0
287,2,2
287,3,4
287,21,4
287,22,4
289,18,2
290,14,1
291,11,0
292,12,0
293,7,0
293,24,0
294,12,2
297,1,3
299,1,1
299,2,0
299,21,2
299,22,2
300,1,2
301,17,0
302,19,0
302,20,1
302,23,0
303,12,4
304,12,1
306,3,1
307,9,0
307,24,2
308,8,0
309,16,2
311,18,1
312,6,0
312,24,1
313,6,2
313,7,2
313,8,2
314,7,1
315,15,0
317,16,3
318,10,0
319,20,0
319,19,1
319,23,1
320,12,3
321,13,0
322,0,2
323,0,1
324,0,0
327,5,2
327,9,2
328,10,1
328,11,1
329,14,3
330,13,2
330,15,2
331,5,1
331,6,1
331,8,1
331,9,1
334,14,0
335,4,1
337,13,1
337,14,2
337,15,1
338,10,2
338,11,2
339,4,2
341,17,1
342,16,1
344,3,3
344,21,3
344,22,3
345,3,5
346,1,0
346,19,2
346,21,1
346,22,1
346,23,2
347,2,1
347,3,2
348,4,0
350,3,5
351,12,3
352,5,2
352,9,2
353,0,0
353,19,2
353,20,2
353,23,1
354,1,2
354,21,4
354,22,4
355,0,1
356,17,1
357,2,2
358,17,0
359,0,2
360,17,2
361,12,2
363,19,0
365,1,3
365,16,3
366,16,0
366,21,0
366,22,0
367,10,2
367,11,2
368,4,2
370,7,2
371,12,1
372,18,0
373,4,1
374,5,0
374,24,1
375,8,0
376,11,0
377,6,0
378,14,2
379,18,2
380,20,0
380,19,1
380,23,0
381,6,2
381,8,2
383,7,1
383,24,2
384,12,4
385,16,2
386,15,0
387,14,3
389,1,1
389,2,1
389,21,3
389,22,3
391,3,4
392,12,0
393,13,0
394,5,1
394,9,1
395,6,1
395,8,1
398,14,0
399,7,0
399,24,0
401,10,1
401,11,1
402,3,0
402,21,2
402,22,2
403,10,0
404,18,1
405,1,0
405,21,1
405,22,1
405,23,2
406,13,2
406,15,2
407,3,3
409,16,4
410,16,1
411,9,0
412,2,0
412,20,1
413,3,2
414,13,1
414,15,1
415,3,1
417,14,1
418,4,0
420,5,0
420,24,1
421,1,2
422,3,5
425,18,0
426,20,0
426,19,1
426,23,0
427,16,4
429,19,0
429,20,1
429,23,1
430,12,0
433,10,0
434,12,1
435,16,2
436,13,2
436,14,1
436,15,2
437,2,2
437,3,2
437,21,4
437,22,4
439,0,0
439,19,2
439,20,2
441,7,0
441,24,0
442,5,2
442,9,2
443,6,1
443,7,2
443,8,1
445,2,0
446,9,0
447,12,3
448,4,0
449,6,0
450,2,1
450,4,1
451,8,0
452,7,1
452,24,2
453,13,0
454,1,3
455,14,0
456,0,1
457,10,1
457,11,1
458,10,2
458,11,2
459,3,1
459,21,1
459,22,1
460,13,1
460,14,3
460,15,1
461,12,2
462,15,0
463,5,1
463,9,1
464,14,2
466,6,2
466,8,2
468,16,0
470,4,2
472,18,2
473,12,4
474,17,2
475,1,0
475,21,2
475,22,2
475,23,2
477,17,1
478,17,0
479,3,0
479,21,0
479,22,0
480,16,3
481,3,3
481,21,3
481,22,3
483,16,1
484,3,4
485,0,2
486,1,1
487,11,0
488,18,1
490,5,1
490,7,2
490,9,1
491,0,2
492,0,1
493,8,0
494,3,5
495,1,3
496,13,0
497,6,2
497,8,2
498,12,0
499,14,1
500,11,0
501,0,0
501,19,1
502,4,2
503,1,0
503,21,4
503,22,4
504,16,3
506,12,2
507,2,1
507,3,3
507,21,3
507,22,3
511,3,4
512,16,1
513,10,2
513,11,2
516,5,2
516,9,2
517,15,0
519,18,0
520,19,0
520,20,1
520,23,0
522,3,1
522,21,0
522,22,0
522,23,2
523,12,3
524,5,0
524,24,1
525,2,2
525,4,1
526,13,2
526,14,2
526,15,2
528,16,4
528,18,1
529,7,1
530,1,1
531,17,1
533,12,1
534,3,2
534,21,1
534,22,1
536,7,0
536,24,0
537,1,2
538,16,2
540,14,0
540,13,1
540,15,1
541,2,0
542,3,0
542,19,2
542,20,2
542,21,2
542,22,2
542,23,1
543,4,0
544,14,3
547,9,0
548,20,0
549,10,1
549,11,1
550,18,2
552,17,0
553,6,1
553,8,1
554,17,2
555,16,0
556,6,0
556,24,2
557,12,4
558,10,0
630,14,0
631,3,0
631,21,2
631,22,2
632,3,5
633,18,2
634,17,0
635,17,2
636,16,3
637,3,4
639,1,3
640,6,2
640,8,2
643,10,1
643,11,1
644,12,2
645,12,4
646,17,1
647,20,0
647,19,1
647,23,1
648,0,1
649,10,2
649,11,2
650,13,2
650,14,2
650,15,2
652,1,1
652,21,0
652,22,0
653,4,0
654,2,1
654,4,1
655,11,0
656,1,0
656,20,2
656,21,3
656,22,3
657,3,3
657,21,4
